libGLX.so.0->malloc(94)                                                      = 0x55824246d870 <0.000067>
libGLX.so.0->malloc(98)                                                      = 0x55824246d8e0 <0.000069>
libGLX.so.0->malloc(93)                                                      = 0x55824246d950 <0.000067>
libGLX.so.0->malloc(88)                                                      = 0x55824246d9c0 <0.000068>
libGLX.so.0->malloc(90)                                                      = 0x55824246da20 <0.000067>
libGLX.so.0->malloc(92)                                                      = 0x55824246da90 <0.000067>
libGLX.so.0->malloc(97)                                                      = 0x55824246db30 <0.000068>
libGLX.so.0->malloc(84)                                                      = 0x55824246dba0 <0.000067>
libGLX.so.0->malloc(94)                                                      = 0x55824246dc00 <0.000067>
libGLX.so.0->malloc(87)                                                      = 0x55824246dc70 <0.000067>
libGLX.so.0->malloc(88)                                                      = 0x55824246dcd0 <0.000067>
libGLX.so.0->malloc(89)                                                      = 0x55824246dd30 <0.000058>
libGLX.so.0->malloc(90)                                                      = 0x55824246dda0 <0.000057>
libGLX.so.0->malloc(97)                                                      = 0x55824246de40 <0.000069>
libGLX.so.0->malloc(93)                                                      = 0x55824246deb0 <0.000064>
libGLX.so.0->malloc(88)                                                      = 0x55824246df20 <0.000052>
libGLX.so.0->malloc(87)                                                      = 0x55824246df80 <0.000050>
libGLX.so.0->malloc(87)                                                      = 0x55824246dfe0 <0.000048>
libGLX.so.0->malloc(91)                                                      = 0x55824246e040 <0.000051>
libGLX.so.0->malloc(91)                                                      = 0x55824246e0b0 <0.000052>
libGLX.so.0->malloc(84)                                                      = 0x55824246e120 <0.000048>
libGLX.so.0->malloc(82)                                                      = 0x55824246e180 <0.000048>
libGLX.so.0->malloc(81)                                                      = 0x55824246e1e0 <0.000048>
libxcb.so.1->malloc(32)                                                      = 0x55824246db00 <0.000048>
libxcb.so.1->malloc(16)                                                      = 0x558242441300 <0.000047>
libxcb.so.1->free(0x558242441300)                                            = <void> <0.000048>
libxcb.so.1->malloc(32)                                                      = 0x55824246db00 <0.000079>
libxcb.so.1->malloc(16)                                                      = 0x558242441150 <0.000057>
libxcb.so.1->free(0x558242441150)                                            = <void> <0.000057>
libxcb.so.1->malloc(32)                                                      = 0x55824246db00 <0.000056>
libxcb.so.1->malloc(16)                                                      = 0x5582423d0860 <0.000055>
libxcb.so.1->free(0x5582423d0860)                                            = <void> <0.000057>
libxcb.so.1->malloc(280)                                                     = 0x5582423ca2e0 <0.000057>
libxcb.so.1->malloc(16)                                                      = 0x558242441300 <0.000054>
libxcb.so.1->free(0x558242441300)                                            = <void> <0.000055>
libGLX_nvidia.so.0->malloc(176)                                              = 0x558242443500 <0.000056>
libGLX_nvidia.so.0->malloc(8)                                                = 0x558242441300 <0.000052>
